Symbol	GSM8422086	GSM8422087	GSM8422088	GSM8422089	GSM8422091	GSM8422092	GSM8422093	GSM8422094	GSM8422095	GSM8422096	GSM8422097
LINC02513	0	0	0	0	0	0	0	0	0	0	0
LINC01258	0	0	0	0	0	0	0	0	0	0	0
LINC01259	0	0	0	0	0	0	0	0	0	0	0
LOC107986224	0	0	0	0	0	0	0	0	0	0	0
LINC02278	0	0	0	0	0	0	0	0	0	0	0
LOC102723415	4	0	2	0	0	4	4	3	1	0	1
KLF3-AS1	59	45	47	24	31	35	49	27	25	24	23
KLF3	1064	868	828	524	638	636	743	746	674	625	644
LOC105374413	0	0	0	0	0	0	0	0	0	0	0
LOC105374412	0	0	0	0	0	0	0	0	0	0	0
TLR10	0	1	0	0	0	0	1	0	0	0	0
TLR1	20	16	24	28	13	8	6	15	14	17	15
TLR6	63	74	42	61	59	28	23	31	54	61	40
FAM114A1	669	543	506	463	497	699	726	646	612	503	569
MIR574	0	0	0	1	0	0	2	0	0	0	1
TMEM156	0	2	2	0	0	0	0	0	1	0	0
KLHL5	987	893	830	805	910	831	902	1049	908	879	951
LOC105374418	3	0	0	0	1	1	3	1	4	2	3
WDR19	758	690	679	485	621	732	838	807	636	549	597
RFC1	2086	1903	1730	1739	2041	1362	1523	1577	2030	1805	1958
KLB	0	4	4	3	15	7	2	7	3	3	2
MIR5591	0	0	0	0	0	0	0	0	0	0	0
RPL9	6804	5758	5761	5349	5764	5113	5650	5389	5592	4863	5431
LIAS	415	373	301	344	353	250	242	260	344	327	296
LOC401127	3	4	2	4	4	1	1	2	3	0	2
UGDH	730	590	532	706	720	633	767	813	730	655	785
UGDH-AS1	31	22	31	28	36	62	56	37	36	49	44
SMIM14	336	294	311	208	246	395	362	421	283	310	295
SMIM14-DT	3	7	7	3	9	9	9	10	9	4	6
UBE2K	2180	2036	2008	2083	2178	1683	1895	2068	2418	2149	2234
PDS5A	4092	3653	3360	3635	4016	3155	3643	3699	4315	3853	3977
LOC344967	0	1	3	1	2	2	2	3	3	2	4
N4BP2	117	112	104	119	135	124	140	161	168	160	126
RHOH	0	0	0	0	0	0	0	0	0	0	0
LINC02265	0	0	0	0	0	0	0	0	0	0	0
CHRNA9	0	0	0	0	0	0	0	0	0	0	0
RBM47	158	138	125	200	213	308	346	316	220	193	217
MIR4802	0	0	0	0	0	0	0	0	0	0	0
LOC107986225	0	0	0	0	0	0	0	0	0	0	0
NSUN7	74	66	52	75	79	61	87	89	85	85	84
APBB2	237	203	203	239	253	215	334	300	254	244	252
LOC107986273	0	0	0	1	0	0	0	0	0	1	2
UCHL1-DT	0	1	0	0	0	0	0	0	0	0	0
UCHL1	0	0	0	0	0	0	1	0	0	0	0
LIMCH1	22	12	20	19	14	16	7	11	24	16	9
LOC105374423	0	0	0	0	0	0	0	0	0	0	0
LOC105374421	0	0	1	0	0	0	0	0	0	0	0
PHOX2B	0	0	0	0	0	0	0	0	0	0	0
PHOX2B-AS1	0	0	0	0	0	0	0	0	0	0	0
LINC00682	0	0	0	0	0	0	0	0	0	0	0
LOC105374426	0	1	0	0	2	0	1	2	2	0	2
TMEM33	1579	1515	1378	1361	1314	933	1065	1200	1546	1397	1456
DCAF4L1	21	7	15	16	13	20	20	19	28	14	16
SLC30A9	1712	1386	1324	1375	1432	1257	1403	1555	1534	1372	1493
BEND4	0	0	0	0	0	0	0	0	0	0	0
LOC105374428	0	0	0	0	0	0	0	0	0	0	0
SHISA3	0	2	0	0	0	0	0	0	0	0	0
ATP8A1	143	91	98	78	73	90	118	132	118	100	101
LOC105374430	0	0	0	0	0	0	0	0	0	0	0
GRXCR1	0	0	0	0	0	0	0	0	0	0	2
LOC105374432	0	0	0	0	0	0	0	0	0	0	0
LOC105374434	0	0	0	0	0	0	0	0	0	0	0
LOC105374433	0	0	0	1	0	0	0	0	0	0	0
LINC02383	0	0	0	0	0	0	0	0	0	0	0
LOC105374438	0	0	0	0	0	0	0	0	0	0	0
LINC02475	0	0	0	0	0	0	0	0	0	0	0
KCTD8	0	0	0	0	0	0	0	0	0	0	0
LOC107986275	0	0	0	0	0	0	0	0	0	0	0
YIPF7	0	1	0	0	0	0	0	0	1	0	0
GUF1	837	713	638	766	795	685	719	878	879	773	783
GNPDA2	262	221	207	314	295	234	310	308	348	311	316
LOC105374439	1	0	2	0	1	2	1	2	0	0	0
LOC112268465	0	0	0	0	0	0	0	0	0	0	0
LOC105374440	0	0	0	0	0	0	0	0	0	0	0
LOC105374441	0	0	0	0	0	0	0	0	0	0	0
GABRG1	0	0	0	0	0	1	0	0	2	0	0
GABRA2	0	0	0	0	0	0	0	0	0	0	0
COX7B2	0	0	0	0	0	0	0	0	0	0	0
GABRA4	0	0	0	0	0	0	0	0	0	0	0
GABRB1	0	0	0	0	0	0	0	0	0	0	0
LOC105374442	0	0	0	0	0	0	0	0	0	0	0
LOC107986276	0	0	0	0	0	0	0	0	0	0	0
COMMD8	218	188	177	254	242	239	278	326	298	229	319
LOC107986277	0	0	2	1	0	0	0	0	0	0	0
ATP10D	60	47	69	113	114	251	303	319	167	176	189
CORIN	2	3	3	2	1	0	0	2	2	1	0
LOC105374444	0	0	0	0	0	0	3	1	0	0	2
LOC105374443	0	0	0	0	0	1	1	0	0	3	2
MIR8053	0	0	0	0	0	0	0	0	0	0	0
LOC101927179	41	31	28	27	33	40	34	38	37	35	38
NFXL1	337	285	276	264	282	264	276	278	324	243	311
LOC101927157	12	12	11	11	11	15	16	10	9	11	9
CNGA1	3	0	0	1	0	6	6	10	1	4	0
NIPAL1	22	36	32	17	25	21	46	26	27	37	32
TXK	21	15	7	12	7	22	22	22	7	15	20
TEC	178	109	96	83	86	86	84	97	94	61	90
LOC105374445	3	2	4	6	4	5	5	3	3	6	5
SLAIN2	924	762	718	697	882	710	799	795	870	827	760
SLC10A4	0	0	1	3	1	1	0	2	3	1	1
ZAR1	154	134	127	146	164	136	146	189	185	185	166
FRYL	1203	1048	1017	1134	1295	1170	1335	1406	1411	1306	1315
OCIAD1	1489	1365	1216	1282	1340	1301	1543	1538	1626	1359	1421
OCIAD1-AS1	24	20	11	24	29	13	21	34	21	24	17
OCIAD2	667	562	590	531	527	595	590	575	574	528	621
CWH43	0	0	0	0	0	0	0	0	0	0	0
LOC101927209	2	0	0	1	0	0	0	0	1	1	0
DCUN1D4	1005	997	978	1240	1340	1060	1194	1375	1319	1251	1261
LRRC66	2	6	6	11	14	37	45	35	14	17	20
SGCB	630	475	465	724	762	897	1010	1154	885	896	908
LINC02480	0	0	0	0	0	0	0	0	0	0	0
SPATA18	4	4	3	6	4	9	14	19	6	8	4
LOC107986279	0	0	0	0	0	0	0	0	0	0	0
LOC112268466	0	0	0	0	0	0	0	0	0	0	0
USP46	478	413	351	412	410	412	431	419	506	453	449
USP46-DT	36	20	27	33	34	42	41	34	43	36	28
DANCR	1073	852	856	1111	1305	927	1102	883	1083	949	1052
MIR4449	3	3	2	3	3	4	3	3	2	4	3
SNORA26	21	14	5	18	17	13	25	11	14	15	10
ERVMER34-1	0	0	0	0	0	0	1	0	0	1	0
LOC107986281	0	0	0	0	0	0	0	0	0	0	0
LINC01618	0	1	0	0	2	0	0	0	1	0	0
RASL11B	37	21	22	21	18	13	18	25	22	16	25
SCFD2	350	286	287	278	262	201	225	214	273	251	231
LOC101928658	0	0	1	0	0	0	0	2	0	0	0
LOC105377654	3	2	2	2	2	0	2	2	4	2	3
FIP1L1	746	704	599	607	747	581	617	608	744	612	721
LNX1	157	117	130	139	157	100	140	126	137	139	136
LNX1-AS1	0	0	0	0	0	0	0	0	0	0	0
COMMD5P1	0	0	0	0	0	0	0	0	0	0	0
LNX1-AS2	0	0	0	0	0	0	0	0	0	0	0
LOC100506444	0	0	0	0	0	0	0	0	0	0	0
RPL21P44	3	2	0	3	1	0	2	3	2	2	3
CHIC2	307	261	257	207	233	192	245	241	231	188	205
GSX2	0	0	0	0	0	0	0	0	0	0	0
PDGFRA	3	0	1	1	3	0	0	4	0	1	4
LINC02283	0	0	0	0	0	0	0	0	0	0	0
LINC02260	0	0	0	0	0	0	0	0	0	0	0
KIT	0	0	0	0	0	0	0	0	0	0	0
LOC105377657	0	0	0	0	0	0	0	0	0	0	0
LINC02358	0	0	0	0	0	0	0	0	0	0	0
KDR	0	0	0	0	0	0	0	0	0	0	1
SRD5A3	648	494	530	643	726	713	794	694	780	725	751
SRD5A3-AS1	2	2	4	4	3	6	3	2	6	3	4
LINC02928	4	1	3	6	8	6	7	9	9	6	1
TMEM165	1139	1022	980	1364	1404	1144	1260	1320	1386	1323	1389
CLOCK	944	758	728	930	1018	778	962	1012	1099	1011	1167
PDCL2	0	1	0	0	0	0	0	0	1	0	0
NMU	111	81	86	46	55	30	47	38	53	26	50
LOC105377660	2	0	0	0	0	0	0	0	0	0	0
EXOC1L	0	0	0	0	0	0	0	0	0	0	0
LOC105377661	0	0	0	0	0	0	0	0	0	0	0
EXOC1	687	585	570	574	571	605	747	697	714	607	647
LOC105377663	5	6	9	6	6	6	1	5	5	3	11
CEP135	208	182	164	241	276	123	173	218	252	249	275
CRACD	133	113	116	27	26	30	30	35	38	34	29
LOC101928760	0	1	0	0	0	0	0	1	0	0	0
LOC105377664	3	0	0	0	0	0	0	0	0	0	0
AASDH	384	367	348	287	310	356	379	358	368	324	348
PPAT	1229	1100	988	1079	1178	732	870	874	1189	1075	1095
LOC100506514	2	4	0	1	2	2	2	3	2	2	0
PAICS	7458	6382	5971	6791	6978	4998	5698	5712	6824	6284	6811
SRP72	3834	3382	3193	3278	3542	2210	2626	2703	3448	3066	3241
ARL9	1	1	0	0	0	0	1	1	1	3	2
LOC105377665	0	1	0	0	0	0	0	1	0	0	1
THEGL	0	0	0	0	0	0	0	0	0	0	0
HOPX	0	0	0	0	0	0	0	0	0	0	0
LOC105377666	0	0	0	0	0	0	0	0	0	0	0
CHAER1	0	0	0	0	0	0	0	0	0	0	0
LOC105377668	0	0	0	0	0	0	0	0	0	0	0
SPINK2	0	0	0	0	0	0	0	0	0	0	0
REST	1049	863	775	1063	1118	1104	1253	1420	1239	1182	1189
NOA1	732	722	668	518	545	562	590	562	559	531	564
POLR2B	3308	2983	2789	3117	3340	2682	3050	3136	3436	3019	3314
IGFBP7	134	128	115	126	131	113	108	128	117	129	133
IGFBP7-AS1	0	0	0	0	0	0	0	0	0	0	0
LOC107986283	0	0	0	0	0	0	0	0	0	0	0
LINC02380	0	0	0	0	0	0	0	0	0	0	0
LOC105377670	0	0	0	0	0	0	0	0	0	0	0
LINC02494	0	0	0	0	0	0	0	0	0	0	0
LOC107986228	0	0	0	0	0	0	0	0	0	0	0
LOC105377672	0	0	0	0	0	0	0	0	0	0	0
LOC105377246	0	0	0	0	0	0	0	0	0	0	0
LINC02429	0	0	0	0	0	0	0	0	0	0	0
LINC02619	0	0	0	0	0	0	0	0	0	0	0
LINC02496	16	8	5	47	26	20	35	42	32	24	27
MIR548AG1	0	0	0	0	0	0	0	0	0	0	0
LINC02271	0	0	0	0	0	0	0	0	0	0	0
ADGRL3	140	99	120	460	499	838	937	1014	513	493	537
ADGRL3-AS1	4	3	3	10	10	12	13	17	11	11	9
LOC101927145	0	0	0	0	0	0	0	0	0	0	0
LOC105377253	3	0	0	0	0	1	0	0	0	0	0
LOC105377254	0	0	0	0	0	0	0	0	0	0	0
TECRL	0	0	0	0	0	0	0	0	0	0	0
LOC107986284	0	0	0	0	0	0	0	0	0	0	0
LOC105377255	0	0	0	0	0	0	0	0	0	0	0
LINC02232	0	0	0	0	0	0	0	0	0	0	0
LINC02835	0	0	0	0	0	0	0	0	0	0	0
EPHA5	0	0	0	0	0	1	1	1	0	0	1
EPHA5-AS1	0	0	0	0	0	1	0	0	0	0	0
LOC105377258	0	0	0	0	0	0	0	0	0	0	0
LOC105377259	0	0	0	0	0	0	0	0	0	0	0
LOC105377260	0	0	0	0	0	0	1	0	0	0	2
LOC105377261	2	5	6	6	5	12	13	8	5	5	0
MIR1269A	0	0	0	0	0	1	1	6	0	0	0
LOC105377262	0	0	0	0	0	0	0	0	0	0	0
LOC101927237	3	3	0	2	1	3	5	3	7	3	5
CENPC	435	401	365	387	478	329	385	452	451	411	478
STAP1	0	0	0	0	1	1	1	0	0	0	0
UBA6	1748	1557	1421	1543	1720	1269	1437	1631	1678	1612	1656
UBA6-DT	96	98	94	80	62	62	64	58	76	53	72
GNRHR	6	3	3	6	3	4	1	6	9	9	11
LOC102724780	5	2	3	2	7	1	2	2	3	4	3
TMPRSS11D	1	1	1	0	2	3	0	1	0	1	1
TMPRSS11A	1	0	0	0	0	0	0	0	1	0	0
TMPRSS11GP	0	0	0	0	0	0	0	0	0	0	0
TMPRSS11F	0	0	0	0	0	0	0	0	0	0	0
LOC550113	0	0	0	0	0	0	0	0	0	0	0
SYT14P1	0	0	0	0	0	0	0	0	0	0	0
FTLP10	0	0	0	0	0	0	0	0	0	0	0
TMPRSS11BNL	0	0	0	0	0	0	0	0	0	0	0
TMPRSS11B	0	0	0	0	0	0	0	0	0	0	0
YTHDC1	1735	1524	1461	1593	1642	1499	1699	1670	1785	1556	1649
TMPRSS11E	0	0	0	0	0	0	0	0	0	0	0
UGT2B17	0	0	1	0	0	0	0	0	0	0	0
UGT2B15	0	0	0	0	0	0	0	0	0	0	0
UGT2B10	0	0	0	0	0	0	0	0	0	0	0
UGT2A3	0	0	0	0	0	0	0	0	0	0	0
LOC105377265	0	0	0	0	0	0	0	0	0	0	0
UGT2B7	0	0	0	0	0	0	0	0	0	0	0
LOC105377267	0	0	0	0	0	0	0	0	0	0	0
UGT2B11	0	0	0	0	0	0	0	0	0	0	0
UGT2B28	0	0	0	0	0	0	0	0	0	0	0
UGT2B4	0	0	0	0	0	0	0	0	0	0	0
UGT2A1	0	0	0	0	0	0	0	0	0	0	0
UGT2A2	0	0	0	0	0	0	0	0	0	0	0
SULT1B1	0	0	0	0	0	0	0	0	2	0	0
SULT1E1	0	0	0	0	0	0	0	0	0	0	0
CSN1S1	0	0	0	0	0	0	0	0	0	0	0
CSN2	0	0	0	0	0	0	0	0	0	0	0
LOC105377269	0	0	0	0	0	0	0	0	0	0	0
STATH	0	0	0	0	0	0	0	0	0	0	0
HTN3	0	0	0	0	0	0	0	0	0	0	0
HTN1	0	0	0	0	0	0	0	0	0	0	0
CSN1S2AP	0	0	0	0	0	0	0	0	0	0	0
CSN1S2BP	0	0	0	0	0	0	0	0	0	0	0
PRR27	2	0	0	0	0	0	0	0	0	0	0
LOC105377270	0	0	0	0	0	0	0	0	0	0	0
ODAM	0	0	0	0	0	0	0	0	0	0	0
FDCSP	0	0	0	0	0	0	0	0	0	0	0
CSN3	0	0	0	0	0	0	0	0	0	0	0
CABS1	0	0	0	0	0	0	0	0	0	0	0
SMR3A	0	0	0	0	0	0	0	0	0	0	0
SMR3B	0	0	0	0	0	0	0	1	0	0	0
OPRPN	0	1	0	0	0	0	0	0	0	0	0
MUC7	0	0	0	0	0	0	0	0	0	0	0
AMTN	0	0	0	0	0	0	0	0	0	0	0
AMBN	0	0	0	0	0	0	0	0	0	0	0
ENAM	0	0	0	0	0	0	0	0	0	0	0
JCHAIN	0	0	0	0	0	0	0	0	0	0	0
LOC101927297	0	0	0	0	0	0	0	0	0	0	0
UTP3	935	885	789	878	960	622	820	666	921	792	877
RUFY3	330	318	293	390	401	447	576	554	433	438	426
GRSF1	2902	2399	2355	2352	2548	2077	2272	2453	2591	2299	2429
MOB1B	638	609	515	615	656	557	625	799	777	694	724
DCK	540	470	436	596	564	388	505	562	625	668	574
SLC4A4	0	0	0	0	0	0	0	0	0	0	0
LOC107986285	0	0	0	0	0	0	0	0	0	0	0
LOC105377271	0	0	0	0	0	0	0	0	0	0	0
GC	0	0	0	0	0	0	0	0	0	0	0
NPFFR2	0	0	0	0	0	0	0	0	0	0	0
ADAMTS3	1	0	1	0	4	0	2	1	4	0	1
LOC105377273	0	0	0	0	0	0	0	0	0	0	0
LOC107986286	0	0	0	0	0	0	0	0	0	0	0
COX18	300	306	252	298	282	294	317	292	261	249	303
LOC112268467	2	1	3	6	4	2	3	6	5	6	2
ANKRD17	3278	2935	2894	2873	3190	3031	3285	3199	3210	2979	3215
ANKRD17-DT	3	10	10	10	9	5	9	13	9	10	8
ALB	0	1	1	0	0	1	0	0	0	0	1
AFP	0	0	0	0	0	0	0	0	0	0	0
AFM	0	0	0	0	0	0	0	0	0	0	0
LINC02499	0	0	0	0	0	0	0	0	0	0	0
LOC107986287	0	0	0	0	0	0	0	0	0	0	0
RASSF6	0	0	0	0	0	1	0	1	0	3	0
LOC105377272	13	16	22	9	9	8	3	5	9	8	9
CXCL8	1452	1325	1174	1399	1514	390	445	504	1163	1017	1016
CXCL6	19	26	18	18	9	15	9	20	13	7	12
PF4V1	0	0	0	0	0	0	0	0	0	0	0
CXCL1	1021	952	900	1572	1670	778	886	941	1496	1375	1483
PF4	5	6	2	3	4	1	0	4	4	2	1
PPBP	0	2	1	0	0	0	0	0	0	0	0
CXCL5	1343	1287	1084	1174	1202	945	1124	1337	1325	1084	1184
CXCL3	78	103	76	100	109	175	172	154	174	143	140
LOC105377275	5	6	8	5	13	9	10	9	11	8	11
PPBPP2	0	0	1	1	0	0	0	0	0	0	0
CXCL2	203	220	165	232	317	320	361	409	320	266	270
LOC105377277	0	1	0	3	0	0	0	1	3	0	0
MTHFD2L	625	530	513	685	741	531	651	665	680	642	610
LOC105377276	11	23	22	27	17	24	22	38	32	19	24
EPGN	227	218	207	975	1005	1421	1743	1906	1063	943	993
EREG	9942	8905	7971	5706	5811	4791	5704	6647	6460	6036	5841
AREG	2721	2220	2135	1631	1799	2579	3001	2816	2286	1912	2148
LOC107986229	25	43	23	58	58	40	64	51	40	54	40
BTC	237	241	201	183	224	454	486	590	272	272	253
LOC105377278	0	0	0	0	0	0	0	0	0	0	0
LOC105377282	0	0	0	0	0	0	0	0	0	0	0
LOC105377280	0	0	0	0	0	0	0	0	0	0	0
PARM1	455	430	373	358	366	514	520	488	389	396	373
PARM1-AS1	0	0	0	1	1	3	0	2	1	0	0
LOC107986289	0	0	1	0	0	0	0	2	0	0	0
LINC02562	52	43	32	68	61	137	145	114	96	87	87
LOC100506253	2	6	8	2	6	17	9	13	6	7	7
LINC02483	0	0	0	1	0	0	0	0	0	0	0
LOC107986230	0	0	2	0	0	0	1	2	0	0	0
RCHY1	379	335	329	408	421	322	395	360	380	380	400
THAP6	295	215	259	228	272	279	229	288	311	280	313
ODAPH	2	1	0	0	0	0	3	0	1	0	0
CDKL2	2	0	0	2	0	0	0	0	0	2	0
G3BP2	3245	2897	2765	3404	3543	3057	3388	3631	3732	3221	3559
USO1	2775	2328	2294	2278	2349	2606	2978	3296	2777	2406	2605
LOC105377284	0	0	0	0	0	0	0	0	0	0	0
PPEF2	0	0	1	0	0	0	2	1	0	3	1
LOC105377285	0	0	1	0	0	0	0	0	0	0	0
NAAA	243	239	207	235	245	274	286	280	239	274	236
SDAD1	1125	951	854	859	864	674	720	747	900	834	938
SDAD1-AS1	1	0	0	0	0	0	1	0	0	2	2
CXCL9	0	0	0	0	0	0	0	0	0	0	0
ART3	0	0	0	0	0	0	0	0	0	0	0
CXCL10	0	1	0	2	4	4	7	6	9	4	2
CXCL11	0	4	1	2	4	3	4	2	3	2	8
NUP54	1350	1180	1046	1076	1108	778	908	898	1133	1035	1043
SCARB2	1902	1708	1660	1616	1678	1990	2287	2280	2127	1938	1742
FAM47E	8	5	2	2	6	9	4	4	2	3	3
LOC105377286	0	4	1	5	0	3	2	0	0	0	0
FAM47E-STBD1	91	82	73	106	107	116	122	123	128	106	111
STBD1	117	96	86	120	141	144	173	149	150	137	133
CCDC158	0	0	0	1	0	2	3	1	2	1	0
SHROOM3	54	47	41	140	164	206	264	200	151	170	216
MIR4450	0	0	0	0	0	0	0	0	0	0	0
MIR548AH	0	0	0	0	0	0	0	0	0	0	0
LOC105377290	1	1	2	1	1	6	5	1	0	3	0
SHROOM3-AS1	0	0	0	0	0	1	0	0	0	0	0
SOWAHB	0	1	2	0	1	1	2	2	0	2	1
LOC107986291	14	12	21	26	28	18	11	15	24	12	18
LOC105377294	20	27	32	28	17	31	25	30	22	12	22
SEPTIN11	2222	1906	1783	2107	2317	1816	2209	2239	2234	2175	2212
LOC105377291	18	15	16	15	14	20	16	20	10	9	23
LOC107986290	0	3	0	1	1	4	1	1	2	4	1
CCNI	6297	5431	5121	4601	4903	5722	6477	6520	5680	5381	5513
LOC101928864	34	34	31	37	51	102	111	79	65	51	65
CCNG2	619	491	450	592	670	1185	1302	1371	964	885	831
LOC107986292	0	0	0	0	0	0	0	0	0	0	0
LOC105377295	1	0	0	0	0	0	0	0	0	0	0
CXCL13	0	0	0	0	0	0	0	0	0	0	0
LOC105377296	0	0	0	0	0	0	0	0	0	0	1
LOC105377297	0	1	0	0	0	1	2	0	0	0	0
CNOT6L	755	686	623	912	941	654	831	928	1031	903	920
MRPL1	541	530	497	612	647	406	505	528	648	566	603
LOC102724916	63	52	49	64	65	42	58	42	68	61	60
FRAS1	0	0	0	1	0	0	0	0	0	0	0
LOC107986293	0	0	0	0	0	0	0	0	0	0	0
SNORD161	0	0	0	0	0	0	0	0	0	0	0
ANXA3	0	0	0	0	0	0	0	0	0	0	0
LINC01094	0	0	0	0	0	0	0	0	0	0	0
LOC101928893	0	0	0	0	0	0	0	0	0	0	0
BMP2K	295	293	270	303	318	274	291	315	380	304	357
LOC105377299	2	2	0	0	1	0	0	0	0	0	0
PAQR3	590	558	473	531	546	407	477	539	646	594	545
LINC01088	0	2	0	0	1	0	1	2	0	5	0
NAA11	1	0	1	4	3	0	0	0	1	0	2
LOC105377300	0	0	0	0	0	0	0	0	0	0	0
GK2	0	0	0	0	0	0	0	0	0	0	0
LINC00989	0	0	0	0	0	0	0	0	0	0	0
LOC107986294	0	0	0	0	0	0	0	0	0	0	0
LINC02469	0	0	0	0	0	0	0	0	0	0	0
LOC105377302	1	1	0	3	1	0	1	0	1	0	1
PCAT4	1	0	0	0	0	0	0	0	0	0	0
ANTXR2	3562	3059	2885	1250	1438	1068	1137	1131	1325	1284	1204
PRDM8-AS1	495	442	431	248	263	317	393	357	316	239	265
PRDM8	4663	4068	3823	1431	1556	1241	1286	1200	1536	1497	1519
FGF5	90	105	76	39	54	25	19	48	36	32	42
CFAP299	137	116	120	128	114	103	140	157	135	102	104
LOC105377305	1	1	7	1	0	1	3	0	2	0	0
BMP3	75	52	53	58	48	47	61	72	65	43	50
PRKG2	5	7	6	1	3	11	10	10	8	7	6
PRKG2-AS1	0	0	0	0	0	0	0	0	0	0	0
RASGEF1B	0	0	0	0	0	0	0	0	0	0	0
LOC105377306	0	0	0	0	0	0	0	0	0	0	0
LOC107986215	0	0	0	0	0	0	0	0	0	0	0
LOC105377308	0	3	0	4	4	2	0	1	0	1	0
VAMP9P	0	0	0	1	0	2	0	0	0	0	0
HNRNPD	7004	6149	6092	7245	7835	5609	6252	5874	7316	6516	7598
HNRNPD-DT	12	7	16	21	19	35	30	29	17	13	19
HNRNPDL	4428	4049	3743	4742	4970	3910	4464	4542	4990	4323	4727
ENOPH1	857	761	734	737	761	514	560	581	809	705	744
LOC105377310	3	3	3	10	6	7	10	4	4	9	7
TMEM150C	43	36	43	26	15	14	23	19	22	26	32
LINC00575	0	0	0	0	0	0	0	0	1	0	0
SCD5	596	489	438	497	639	592	662	613	661	598	625
MIR575	0	0	0	0	0	0	0	0	0	0	0
SEC31A	2482	2048	1998	2169	2366	2884	3305	3181	2554	2352	2505
THAP9-AS1	355	328	309	330	342	228	256	313	333	346	329
SNORD143	35	18	19	21	27	14	11	16	21	18	17
SNORD144	13	10	5	14	12	6	8	4	10	16	10
THAP9	80	60	52	62	70	65	74	76	88	65	88
LIN54	361	312	281	370	410	317	331	365	434	388	385
COPS4	929	777	684	852	878	791	914	945	1042	816	884
PLAC8	706	660	645	818	842	1051	1081	1093	838	743	806
COQ2	435	387	385	451	446	408	514	472	500	435	472
HPSE	51	30	55	58	68	122	129	152	63	37	56
LOC105377313	0	0	0	0	0	1	0	0	0	0	0
HELQ	197	194	126	155	168	188	233	176	205	180	184
MRPS18C	375	363	289	333	397	286	349	375	388	334	355
ABRAXAS1	566	529	446	389	487	431	462	528	507	435	447
GPAT3	683	565	524	302	315	179	226	249	280	258	251
LOC105377315	0	0	0	0	0	0	0	0	0	0	0
LINC02994	0	0	0	0	0	0	0	0	0	0	0
NKX6-1	6	2	1	4	5	3	3	4	3	8	3
LOC102723338	0	0	0	0	0	0	0	2	0	0	0
CDS1	16	12	19	10	11	21	14	15	12	16	16
WDFY3	801	747	726	862	933	1019	1185	1214	1050	1066	1106
WDFY3-AS2	38	29	25	24	42	21	23	43	54	22	38
ARHGAP24	0	1	2	2	0	1	1	0	0	0	0
LOC105377319	0	0	0	0	0	0	0	0	0	0	1
MIR4451	0	0	0	0	0	0	0	0	0	0	0
MAPK10	0	0	0	0	0	0	0	2	0	0	0
MAPK10-AS1	0	0	0	0	0	0	0	0	0	0	0
MIR4452	0	0	0	0	0	0	0	0	0	0	0
PTPN13	0	1	2	0	0	3	0	1	2	1	0
LOC107986189	0	0	0	0	0	0	0	0	0	0	0
SLC10A6	0	1	0	0	0	1	1	1	0	0	0
C4orf36	6	9	0	5	7	8	8	12	12	14	7
AFF1-AS1	39	37	18	24	18	24	31	31	26	29	19
AFF1	905	829	755	770	826	842	922	930	1014	963	931
LOC105377320	0	0	1	0	0	0	0	0	0	0	0
KLHL8	467	429	425	413	459	330	377	419	487	486	457
MIR5705	0	0	0	0	0	0	0	0	0	0	0
HSD17B13	9	10	1	8	9	4	12	5	5	4	6
HSD17B11	1593	1397	1330	1322	1578	1128	1318	1346	1720	1492	1542
NUDT9	284	268	264	417	362	384	383	407	342	360	397
SCPPPQ1	0	0	2	0	1	0	0	0	0	0	0
SPARCL1	0	3	0	2	1	4	3	3	6	1	0
DSPP	0	0	0	0	0	0	0	0	0	0	0
DMP1	0	0	0	0	1	0	0	0	0	0	0
LOC105377323	0	0	0	0	0	0	0	0	0	0	0
LOC105377324	0	0	0	0	0	0	0	0	0	0	0
IBSP	0	0	0	0	0	0	0	0	0	0	0
MEPE	0	0	0	0	0	0	0	0	0	0	0
SPP1	0	0	0	0	0	0	0	1	0	0	0
PKD2	392	293	348	417	477	434	498	495	556	446	479
ABCG2	17	9	9	13	9	17	12	8	14	12	17
PPM1K	136	125	112	116	134	159	216	191	148	135	162
PPM1K-DT	0	0	0	0	0	0	0	0	1	0	2
LOC105377326	0	0	0	0	1	0	0	0	0	0	0
HERC6	136	104	113	156	223	273	299	300	200	203	200
LOC102723458	33	20	33	25	31	44	36	45	33	34	29
HERC5	178	134	144	113	115	102	127	93	126	101	130
PIGY	661	570	566	707	674	698	723	780	763	699	727
PYURF	661	570	566	707	674	698	723	780	763	699	727
PIGY-DT	5	6	2	5	1	3	3	2	3	0	6
HERC3	101	106	90	70	71	101	95	89	98	92	90
NAP1L5	0	0	0	0	0	0	0	0	0	0	0
FAM13A-AS1	32	14	14	24	24	41	39	39	42	21	25
FAM13A	164	155	143	162	184	224	326	272	242	206	185
LOC105377327	2	2	0	0	1	0	0	1	1	0	0
TIGD2	138	95	104	85	123	108	108	123	126	138	121
GPRIN3	0	0	0	0	0	0	0	0	0	0	0
LOC105377328	0	0	0	0	0	0	0	0	0	0	0
LOC105377329	0	0	0	0	0	0	0	0	0	0	0
SNCA	0	0	0	0	0	0	0	0	0	0	0
SNCA-AS1	0	0	0	0	0	0	0	0	0	0	0
MMRN1	0	0	0	0	0	0	0	0	0	0	0
LOC105377331	0	0	0	0	0	0	0	0	0	0	0
CCSER1	0	0	0	0	0	0	0	0	0	0	0
LOC112268468	0	0	0	0	0	0	0	0	0	0	0
